                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  0.389,                0.47082,                 1.2152,                0.81406,                 0.9503,                0.96854,                 0.9763,                0.89807,                0.95013,                0.96486,                0.97568,                0.87353,                0.43211,                0.50192,                0.65802,                0.80743,             0.00041132,             0.00041132,             0.00041132
                      2,                0.38335,                0.36576,                0.59878,                 0.8037,                0.81759,                0.90039,                0.93563,                0.85685,                0.82017,                 0.9033,                0.93838,                0.86896,                0.42312,                0.55265,                0.84563,                0.82147,             0.00074602,             0.00074602,             0.00074602
                      3,                 0.3992,                0.36073,                0.54031,                0.81207,                0.84338,                 0.9216,                 0.8585,                0.77897,                0.84436,                0.92166,                0.86116,                0.77302,                0.44432,                0.87367,                0.71604,                0.82839,             0.00099822,             0.00099822,             0.00099822
                      4,                0.38553,                0.33523,                0.48953,                0.80944,                 0.9442,                0.92702,                0.96042,                0.90558,                0.94688,                 0.9298,                0.96414,                0.90029,                  0.364,                0.40981,                 0.4712,                0.79574,             0.00087875,             0.00087875,             0.00087875
                      5,                0.34907,                0.31679,                0.38422,                0.80087,                0.95458,                0.97245,                0.97442,                0.92656,                0.96015,                0.97818,                0.98036,                0.92901,                0.33417,                0.32074,                0.36256,                0.79411,             0.00087875,             0.00087875,             0.00087875
                      6,                0.34964,                0.33222,                0.36478,                0.79895,                0.87391,                0.93751,                0.96602,                0.94153,                0.87391,                0.93751,                0.96602,                0.92307,                0.28212,                0.33001,                0.54493,                0.78572,               0.000755,               0.000755,               0.000755
                      7,                0.30727,                0.30792,                0.33497,                0.79139,                0.99069,                 0.9743,                0.98936,                0.95585,                0.99069,                 0.9743,                0.98788,                0.92872,                0.28638,                0.41058,                0.27478,                0.78152,             0.00063125,             0.00063125,             0.00063125
                      8,                0.28768,                0.29355,                0.28639,                0.78721,                0.98202,                0.98471,                0.98543,                0.96438,                0.98202,                0.98471,                0.98543,                0.94496,                0.25023,                 0.3299,                0.28042,                0.77801,              0.0005075,              0.0005075,              0.0005075
                      9,                 0.2657,                0.28182,                0.25302,                0.78369,                0.97644,                0.98646,                0.98542,                0.96796,                0.97926,                0.98937,                0.98724,                 0.9442,                0.24467,                0.30592,                0.25898,                0.78341,             0.00038375,             0.00038375,             0.00038375
                     10,                0.25478,                0.27007,                0.23247,                0.77792,                0.98853,                0.98772,                0.99054,                 0.9782,                0.98853,                0.98772,                0.99054,                0.95278,                0.21368,                0.30656,                0.21889,                0.77107,                0.00026,                0.00026,                0.00026
